    12.139976652, 1164, , cache-misses, 99981297, 100.00, 0.001, of all cache refs
    12.139976652, 97581685, , cache-references, 99981297, 100.00, , 
    12.139976652, 103372079, , ldst_spec, 99981297, 100.00, , 
    12.240124857, 1161, , cache-misses, 99986054, 100.00, 0.001, of all cache refs
    12.240124857, 97529669, , cache-references, 99986054, 100.00, , 
    12.240124857, 103489167, , ldst_spec, 99986054, 100.00, , 
    12.340273858, 1322, , cache-misses, 99978589, 100.00, 0.001, of all cache refs
    12.340273858, 97460094, , cache-references, 99978589, 100.00, , 
    12.340273858, 103454681, , ldst_spec, 99978589, 100.00, , 
    12.440426712, 1244, , cache-misses, 99959002, 100.00, 0.001, of all cache refs
    12.440426712, 97535332, , cache-references, 99959002, 100.00, , 
    12.440426712, 103434912, , ldst_spec, 99959002, 100.00, , 
    12.540575120, 1437, , cache-misses, 99985835, 100.00, 0.001, of all cache refs
    12.540575120, 97589877, , cache-references, 99985835, 100.00, , 
    12.540575120, 103297298, , ldst_spec, 99985835, 100.00, , 
    12.640725140, 1227, , cache-misses, 99978648, 100.00, 0.001, of all cache refs
    12.640725140, 97521576, , cache-references, 99978648, 100.00, , 
    12.640725140, 103375305, , ldst_spec, 99978648, 100.00, , 
    12.740872993, 1180, , cache-misses, 99986684, 100.00, 0.001, of all cache refs
    12.740872993, 97372769, , cache-references, 99986684, 100.00, , 
    12.740872993, 103570242, , ldst_spec, 99986684, 100.00, , 
    12.841021754, 1225, , cache-misses, 99986815, 100.00, 0.001, of all cache refs
    12.841021754, 97531236, , cache-references, 99986815, 100.00, , 
    12.841021754, 103484968, , ldst_spec, 99986815, 100.00, , 
    12.941169274, 1234, , cache-misses, 99978926, 100.00, 0.001, of all cache refs
    12.941169274, 97886037, , cache-references, 99978926, 100.00, , 
    12.941169274, 104175051, , ldst_spec, 99978926, 100.00, , 
    13.041318350, 1243, , cache-misses, 99987203, 100.00, 0.001, of all cache refs
    13.041318350, 98004197, , cache-references, 99987203, 100.00, , 
    13.041318350, 104115422, , ldst_spec, 99987203, 100.00, , 
    13.141465759, 1191, , cache-misses, 99986854, 100.00, 0.001, of all cache refs
    13.141465759, 97976846, , cache-references, 99986854, 100.00, , 
    13.141465759, 104160237, , ldst_spec, 99986854, 100.00, , 
    13.241611872, 1225, , cache-misses, 99980055, 100.00, 0.001, of all cache refs
    13.241611872, 98034489, , cache-references, 99980055, 100.00, , 
    13.241611872, 104343734, , ldst_spec, 99980055, 100.00, , 
    13.341760151, 1301, , cache-misses, 99986760, 100.00, 0.001, of all cache refs
    13.341760151, 97993609, , cache-references, 99986760, 100.00, , 
    13.341760151, 104226701, , ldst_spec, 99986760, 100.00, , 
    13.441914542, 1311, , cache-misses, 99956481, 100.00, 0.001, of all cache refs
    13.441914542, 97949988, , cache-references, 99956481, 100.00, , 
    13.441914542, 104051537, , ldst_spec, 99956481, 100.00, , 
    13.542063803, 1220, , cache-misses, 99981184, 100.00, 0.001, of all cache refs
